wave,start,end,syll,repertoire_file
064-rouge6_July_01_2014_42647950.wav,2.706,3.094,cri,cri-119335-136446-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,3.699,4.943,A,A-163126-217987-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,4.971,6.313,B,B-219222-278404-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,6.339,7.329,S1,S1-279550-323209-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,7.341,8.521,S2,S2-323739-375777-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,8.521,10.254,Y,Y-375777-452202-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,10.273,11.326,X,X-453040-499477-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,11.326,12.506,P1,P1-499477-551515-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,12.506,15.298,P2,P2-551515-674642-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,15.343,15.933,P1,P1-676627-702646-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,15.933,16.923,E1,E1-702646-746305-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,16.923,18.039,S1,S1-746305-795520-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,18.039,19.143,S2,S2-795520-844207-064-rouge6_July_01_2014_42647950
064-rouge6_July_01_2014_42647950.wav,19.143,19.822,Y,Y-844207-874151-064-rouge6_July_01_2014_42647950
