wave,start,end,syll,repertoire_file
001-rouge6_July_01_2014_42678325.wav,2.103,3.372,A,A-92743-148706-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,3.372,4.092,B,B-148706-180458-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,4.092,5.112,E1,E1-180458-225440-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,5.112,6.559,X,X-225440-289252-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,6.559,7.885,P1,P1-289252-347729-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,7.885,10.302,P2,P2-347729-454319-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,10.302,12.419,S1,S1-454319-547678-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,12.419,12.74,St,St-547678-561834-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,12.74,13.752,S2,S2-561834-606464-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,13.752,15.442,Y,Y-606464-680993-001-rouge6_July_01_2014_42678325
001-rouge6_July_01_2014_42678325.wav,15.442,15.542,V,V-680993-685403-001-rouge6_July_01_2014_42678325
