wave,start,end,syll,repertoire_file
040-rouge6_July_01_2014_34657919.wav,1.18,2.068,Z,Z-52038-91199-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,2.34,3.615,A1,A1-103194-159422-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,3.63,4.971,B,B-160083-219222-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,4.971,5.969,T,T-219222-263233-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,5.977,7.055,A2,A2-263586-311126-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,7.055,7.485,B,B-311126-330089-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,7.485,8.856,E1,E1-330089-390550-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,8.863,9.708,E2,E2-390859-428123-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,9.708,10.112,X,X-428123-445940-040-rouge6_July_01_2014_34657919
040-rouge6_July_01_2014_34657919.wav,10.112,11.604,Y,Y-445940-511737-040-rouge6_July_01_2014_34657919
