wave,start,end,syll,repertoire_file
051-rouge6_July_01_2014_42123601.wav,1.872,3.495,Z,Z-82556-154130-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,3.495,4.684,A2,A2-154130-206565-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,4.684,6.093,B,B-206565-268702-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,6.129,7.455,S1,S1-270289-328766-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,7.455,8.716,S2,S2-328766-384376-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,8.716,10.1191852117,Y,Y-384376-446257-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,10.128,10.232,V,V-446645-451232-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,10.232,11.185,E1,E1-451232-493259-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,11.228,11.9857788086,S1,S1-495155-528573-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,11.9857788086,12.458,St2,St2-528573-549398-051-rouge6_July_01_2014_42123601
051-rouge6_July_01_2014_42123601.wav,12.47,13.459,T,T-549927-593542-051-rouge6_July_01_2014_42123601
