wave,start,end,syll,repertoire_file
060-rouge6_July_01_2014_42526924.wav,0.367,1.015,Ti,Ti-16185-44762-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,1.583,1.938,Z,Z-69811-85466-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,2.596,3.882,A,A-114484-171197-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,3.882,5.385,B,B-171197-237479-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,5.385,7.557,S1,S1-237479-333264-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,7.664,8.66,T,T-337983-381906-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,8.692,9.744,A2,A2-383318-429711-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,9.744,10.121,B,B-429711-446337-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,10.121,11.103,E1,E1-446337-489643-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,11.103,12.007,E2,E2-489643-529509-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,12.007,13.209,S1,S1-529509-582517-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,13.209,14.496,S2,S2-582517-639274-060-rouge6_July_01_2014_42526924
060-rouge6_July_01_2014_42526924.wav,14.496,15.445,Y,Y-639274-681125-060-rouge6_July_01_2014_42526924
