wave,start,end,syll,repertoire_file
016-rouge6_July_01_2014_53296189.wav,0.92,1.732,A,A-40572-76382-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,1.758,2.904,B,B-77528-128067-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,2.965,3.878,T,T-130757-171020-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,4.431,5.862,A2,A2-195408-258515-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,5.91,7.06,B,B-260631-311346-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,7.082,8.547,S1,S1-312317-376923-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,8.547,9.763,S2,S2-376923-430549-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,9.763,11.426,Y,Y-430549-503887-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,11.426,12.48,E1,E1-503887-550368-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,12.471,13.493,E2,E2-549972-595042-016-rouge6_July_01_2014_53296189
016-rouge6_July_01_2014_53296189.wav,13.515,13.629,TRASH,TRASH-596012-601039-016-rouge6_July_01_2014_53296189
