wave,start,end,syll,repertoire_file
022-rouge6_July_01_2014_33461156.wav,1.351,1.841,Z,Z-59580-81189-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,3.612,5.104,A1,A1-159290-225087-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,5.104,6.218,F1,F1-225087-274214-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,6.218,7.31,E1,E1-274214-322371-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,7.31,8.192,E2,E2-322371-361268-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,8.192,9.6,S1,S1-361268-423360-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,9.6,9.791,St,St-423360-431784-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,9.791,11.244,S2,S2-431784-495861-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,11.244,12.976,Y,Y-495861-572242-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,12.976,13.103,V,V-572242-577843-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,13.103,13.826,E1,E1-577843-609727-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,13.826,15.324,S1,S1-609727-675789-022-rouge6_July_01_2014_33461156
022-rouge6_July_01_2014_33461156.wav,15.324,15.647,St,St-675789-690033-022-rouge6_July_01_2014_33461156
