wave,start,end,syll,repertoire_file
063-rouge6_July_01_2014_42607623.wav,1.225,1.929,Ti,Ti-54023-85069-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,2.394,3.672,A1,A1-105576-161936-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,3.672,5.379,B,B-161936-237214-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,5.425,6.748,T,T-239243-297587-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,6.758,7.132,Z,Z-298028-314522-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,7.595,9.074,A2,A2-334940-400164-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,9.074,10.532,B,B-400164-464462-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,10.5710346775,11.726,S1,S1-466183-517117-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,11.726,12.818,S2,S2-517117-565274-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,12.843,14.537,Y,Y-566377-641082-063-rouge6_July_01_2014_42607623
063-rouge6_July_01_2014_42607623.wav,14.599,14.81,U,U-643816-653121-063-rouge6_July_01_2014_42607623
