wave,start,end,syll,repertoire_file
003-rouge6_July_01_2014_42799448.wav,2.631,4.213,Z,Z-116028-185794-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,4.249,5.618,A2,A2-187381-247754-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,5.618,7.229,B,B-247754-318799-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,7.229,8.634,S1,S1-318799-380760-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,8.634,9.967,S2,S2-380760-439545-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,9.967,12.091,Y,Y-439545-533214-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,12.148,12.248,V,V-535727-540137-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,12.248,13.296,E1,E1-540137-586354-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,13.296,14.829,S1,S1-586354-653959-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,14.829,16.133,S2,S2-653959-711466-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,16.133,17.866,Y,Y-711466-787891-003-rouge6_July_01_2014_42799448
003-rouge6_July_01_2014_42799448.wav,17.866,18.123,U,U-787891-799225-003-rouge6_July_01_2014_42799448
