wave,start,end,syll,repertoire_file
010-rouge6_July_01_2014_53148055.wav,1.843,2.501,Ti,Ti-81277-110295-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,2.927,4.696,A2,A2-129081-207094-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,4.72,6.219,B,B-208152-274258-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,6.245,7.676,Q1,Q1-275405-338512-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,7.676,8.659,S2,S2-338512-381862-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,8.672,10.331,Y,Y-382436-455598-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,10.414,10.502,V,V-459258-463139-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,10.502,11.217,E1,E1-463139-494670-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,11.217,11.884,S1,S1-494670-524085-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,11.884,12.459,Sté,Sté-524085-549442-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,12.459,13.192,S1,S1-549442-581768-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,13.192,13.991,S2,S2-581768-617004-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,13.991,15.145,Y,Y-617004-667895-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,15.145,15.834,X,X-667895-698280-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,15.834,17.164,P2,P2-698280-756933-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,17.194,17.888,s&,s&-758256-788861-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,17.901165698299998,18.7742857386,St2,St2-789442-827947-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,18.7742857386,20.315,S2,S2-827947-895892-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,20.315,22.088,Y,Y-895892-974081-010-rouge6_July_01_2014_53148055
010-rouge6_July_01_2014_53148055.wav,22.088,22.272,U,U-974081-982196-010-rouge6_July_01_2014_53148055
