wave,start,end,syll,repertoire_file
035-rouge6_July_01_2014_34338140.wav,2.22,3.495,A1,A1-97903-154130-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,3.495,4.971,B,B-154130-219222-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,4.971,6.073,S1,S1-219222-267820-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,6.073,7.855,S2,S2-267820-346406-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,7.855,9.453,Y,Y-346406-416878-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,9.453,9.562,V,V-416878-421685-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,9.562,10.446,E1,E1-421685-460669-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,10.446,11.7989939684,S1,S1-460669-520336-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,11.799,13.275,S2,S2-520336-585428-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,13.275,14.982,Y,Y-585428-660707-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,14.982,15.975,E1,E1-660707-704498-035-rouge6_July_01_2014_34338140
035-rouge6_July_01_2014_34338140.wav,16.009,17.457,S1,S1-705997-769854-035-rouge6_July_01_2014_34338140
