wave,start,end,syll,repertoire_file
049-rouge6_July_01_2014_42083178.wav,1.893,3.0,Z,Z-83482-132300-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,3.065,4.173,A1,A1-135167-184030-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,4.173,5.698,B,B-184030-251282-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,5.724,6.913,T,T-252429-304864-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,6.937,8.15,A2,A2-305922-359415-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,8.15,9.643,B,B-359415-425257-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,9.643,10.693,S1,S1-425257-471562-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,10.693,12.082,S2,S2-471562-532817-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,12.082,13.811,Y,Y-532817-609066-049-rouge6_July_01_2014_42083178
049-rouge6_July_01_2014_42083178.wav,13.858,14.314,U,U-611138-631248-049-rouge6_July_01_2014_42083178
