wave,start,end,syll,repertoire_file
021-rouge6_July_01_2014_53390980.wav,0.802,2.092,A1,A1-35369-92258-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,2.092458909,3.628,B,B-92278-159995-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,3.65,5.2,S1,S1-160965-229320-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,5.2,6.288,S2,S2-229320-277301-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,6.288,7.92,Y,Y-277301-349272-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,7.938,8.021,V,V-350066-353727-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,8.021,8.925,E1,E1-353727-393593-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,8.961,9.167,P1,P1-395181-404265-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,9.167,10.321,S1,S1-404265-455157-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,10.321,11.721,S2,S2-455157-516897-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,11.721,13.463,Y,Y-516897-593719-021-rouge6_July_01_2014_53390980
021-rouge6_July_01_2014_53390980.wav,13.507,13.713,U,U-595659-604744-021-rouge6_July_01_2014_53390980
