wave,start,end,syll,repertoire_file
023-rouge6_July_01_2014_33461156.wav,3.566,4.74,Z,Z-157261-209034-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,4.765,5.768,A1,A1-210137-254369-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,5.768,7.164,B,B-254369-315933-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,7.189,8.94,S1,S1-317035-394254-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,8.94,10.286,Y,Y-394254-453613-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,10.286,10.387,V,V-453613-458067-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,10.387,11.117,E1,E1-458067-490260-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,11.142,12.297,S1,S1-491363-542298-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,12.297,12.582,St,St-542298-554867-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,12.582,13.325,S2,S2-554867-587633-023-rouge6_July_01_2014_33461156
023-rouge6_July_01_2014_33461156.wav,13.325,14.302,Y,Y-587633-630719-023-rouge6_July_01_2014_33461156
