wave,start,end,syll,repertoire_file
043-rouge6_July_01_2014_41919004.wav,1.841,2.981,A1,A1-81189-131463-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,2.981,4.577,S1,S1-131463-201846-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,4.577,5.634,S2,S2-201846-248460-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,5.634,7.653,Y,Y-248460-337498-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,7.69,7.784,V,V-339129-343275-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,7.784,8.659,E1,E1-343275-381862-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,8.688,10.037,S1,S1-383141-442632-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,10.037,11.078783805399999,St,St-442632-488575-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,11.079,12.53,S2,S2-488584-552573-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,12.53,14.577,Y,Y-552573-642846-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,14.599,14.709,V,V-643816-648667-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,14.709,15.35,E1,E1-648667-676935-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,15.35,15.437,E2,E2-676935-680772-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,15.437,16.604,S1,S1-680772-732237-043-rouge6_July_01_2014_41919004
043-rouge6_July_01_2014_41919004.wav,16.603598361,17.8280955185,S2,S2-732219-786220-043-rouge6_July_01_2014_41919004
