wave,start,end,syll,repertoire_file
015-rouge6_July_01_2014_53275307.wav,3.866,4.669,Z,Z-170491-205903-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,4.696,5.793,A1,A1-207094-255472-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,5.859,6.872,B,B-258382-303056-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,6.908,8.02,S1,S1-304643-353682-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,8.02,9.115,S2,S2-353682-401972-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,9.133,10.813,Y,Y-402766-476854-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,10.831,10.932,V,V-477648-482102-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,10.949,11.84,E1,E1-482851-522144-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,11.84,13.021,S1,S1-522144-574227-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,13.021,14.627,S2,S2-574227-645051-015-rouge6_July_01_2014_53275307
015-rouge6_July_01_2014_53275307.wav,14.649,16.027,Y,Y-646021-706791-015-rouge6_July_01_2014_53275307
