wave,start,end,syll,repertoire_file
042-rouge6_July_01_2014_41878687.wav,1.305,1.786,Z,Z-57551-78763-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,2.34,3.827,A1,A1-103194-168771-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,3.827,5.204,B,B-168771-229497-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,5.204,6.807,S1,S1-229497-300189-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,6.807,7.386,St2,St2-300189-325723-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,7.386,8.688,S2,S2-325723-383141-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,8.688,10.8018142103,Y,Y-383141-476361-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,10.82,11.531,X,X-477162-508518-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,11.531,11.771,P1,P1-508518-519102-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,11.799,13.462,S1,S1-520336-593675-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,13.462,14.679,S2,S2-593675-647344-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,14.679,16.093,Y,Y-647344-709702-042-rouge6_July_01_2014_41878687
042-rouge6_July_01_2014_41878687.wav,16.093,16.604,U,U-709702-732237-042-rouge6_July_01_2014_41878687
