wave,start,end,syll,repertoire_file
000-rouge6_July_01_2014_42678325.wav,3.557,4.72,Z,Z-156864-208152-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,4.72,5.696,A,A-208152-251194-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,5.696,7.094,B,B-251194-312846-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,7.094,7.97,T,T-312846-351477-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,8.02,9.04,A2,A2-353682-398664-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,9.068,9.56,B,B-399899-421596-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,9.56,10.68,E1,E1-421596-470988-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,10.68,11.442,E2,E2-470988-504593-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,11.442,12.562,S1,S1-504593-553985-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,12.562,13.845,S2,S2-553985-610565-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,13.845,15.591,Y,Y-610565-687564-000-rouge6_July_01_2014_42678325
000-rouge6_July_01_2014_42678325.wav,15.627,15.906,U,U-689151-701455-000-rouge6_July_01_2014_42678325
