wave,start,end,syll,repertoire_file
045-rouge6_July_01_2014_41960024.wav,3.516,3.892,cri,cri-155056-171638-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,4.577,5.809,A1,A1-201846-256177-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,5.838,7.164,B,B-257456-315933-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,7.179,8.4896278343,S1,S1-316594-374393-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,8.4896278343,9.6,S2,S2-374393-423360-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,9.6,11.225,Y,Y-423360-495023-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,11.272,11.373,V,V-497096-501550-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,11.373,12.265,E1,E1-501550-540887-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,12.265,13.718,S1,S1-540887-604964-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,13.718,15.168,S2,S2-604964-668909-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,15.168,16.512,Y,Y-668909-728180-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,16.559,16.819,P1,P1-730252-741718-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,16.819,18.1324531287,S1,S1-741718-799642-045-rouge6_July_01_2014_41960024
045-rouge6_July_01_2014_41960024.wav,18.132,18.404,St,St-799622-811617-045-rouge6_July_01_2014_41960024
